text_id,text,source,region_type,text_type,label_category,score,x0,y0,x1,y1,cx,cy,block_no,line_no,word_no
1,1,pdf_block,border,symbol,unknown,0.0,1531.93,231.92,1579.4,258.22,1555.67,245.07,40,0,0
2,2,pdf_block,drawing,symbol,unknown,0.0,1531.45,522.68,1578.92,548.98,1555.19,535.83,45,0,0
3,CO-RA,pdf_block,drawing,room_label,service,44.0,853.95,534.32,859.89,554.26,856.92,544.29,32,0,0
4,CO-FA,pdf_block,drawing,room_label,service,44.0,891.63,534.68,897.57,553.9,894.6,544.29,33,0,0
5,A.H.U,pdf_block,drawing,room_label,space,43.0,974.6,576.8,982.51,597.62,978.56,587.21,10,0,0
6,LOBBY-2,pdf_block,drawing,room_label,space,45.0,650.07,604.28,663.18,656.15,656.63,630.22,36,0,0
7,LOBBY. PRESSURIZATION,pdf_block,drawing,room_label,space,66.0,986.31,650.6,992.25,717.8,989.28,684.2,31,0,0
8,PASSAGE,pdf_block,drawing,room_label,space,47.0,1024.16,665.12,1032.07,700.53,1028.12,682.83,19,0,0
9,S LIFT - 2,pdf_block,drawing,room_label,space,53.0,943.16,671.36,951.07,701.54,947.12,686.45,30,0,0
10,S LIFT - 1,pdf_block,drawing,room_label,space,53.0,875.0,672.2,882.91,702.38,878.96,687.29,29,0,0
11,SHAFT,pdf_block,drawing,room_label,service,45.0,979.11,676.72,985.05,693.53,982.08,685.13,31,1,0
12,LOBBY-4,pdf_block,drawing,room_label,space,45.0,949.64,748.52,957.55,779.83,953.6,764.17,9,0,0
13,STR. PRESSURIZATION,pdf_block,drawing,room_label,service,52.0,553.68,785.39,611.74,791.33,582.71,788.36,0,0,0
14,SHAFT,pdf_block,drawing,room_label,service,45.0,575.0,792.59,591.81,798.53,583.41,795.56,1,0,0
15,FHC,pdf_block,drawing,room_label,service,43.0,944.04,800.51,955.79,806.45,949.92,803.48,14,0,0
16,STAIRCASE-2,pdf_block,drawing,room_label,space,49.0,986.84,818.96,994.75,866.19,990.8,842.58,35,0,0
17,UP,pdf_block,drawing,symbol,unknown,0.0,1006.92,863.42,1019.25,873.31,1013.09,868.36,5,1,0
18,DN,pdf_block,drawing,symbol,unknown,0.0,937.68,863.54,952.36,873.43,945.02,868.48,5,0,0
19,OBSERVATORY,pdf_block,drawing,room_label,space,51.0,873.2,883.76,881.11,939.3,877.16,911.53,17,1,0
20,LIFT FOR,pdf_block,drawing,room_label,space,47.0,881.96,896.36,889.87,926.72,885.92,911.54,17,0,0
21,3,pdf_block,drawing,symbol,unknown,0.0,1531.93,898.16,1579.4,924.46,1555.67,911.31,45,1,0
22,F LIFT,pdf_block,drawing,room_label,space,53.0,691.64,906.68,699.55,925.36,695.6,916.02,4,0,0
23,OFFICE,pdf_block,drawing,room_label,space,46.0,1181.55,928.16,1194.66,972.92,1188.11,950.54,100,0,0
24,UP,pdf_block,drawing,symbol,unknown,0.0,542.04,961.7,554.37,971.59,548.21,966.64,3,1,0
25,DN,pdf_block,drawing,symbol,unknown,0.0,609.24,961.82,623.92,971.71,616.58,966.76,3,0,0
26,OBSERVATORY,pdf_block,drawing,room_label,space,51.0,873.2,961.88,881.11,1017.42,877.16,989.65,16,1,0
27,STAIRCASE-1,pdf_block,drawing,room_label,space,49.0,573.8,963.68,581.71,1010.91,577.76,987.3,34,1,0
28,F LOBBY,pdf_block,drawing,room_label,space,54.0,692.84,972.44,700.75,1002.77,696.8,987.6,7,0,0
29,LIFT FOR,pdf_block,drawing,room_label,space,47.0,881.96,974.48,889.87,1004.84,885.92,989.66,16,0,0
30,TOILET/PANTRY EXE,pdf_block,drawing,room_label,space,74.0,960.87,1033.64,966.81,1087.26,963.84,1060.45,25,0,0
31,LOBBY-3,pdf_block,drawing,room_label,space,45.0,626.12,1036.04,634.03,1067.35,630.08,1051.69,8,0,0
32,STR. PRESSURIZATION,pdf_block,drawing,room_label,service,52.0,981.6,1036.43,1039.66,1042.37,1010.63,1039.4,26,0,0
33,PLUMBING,pdf_block,drawing,room_label,service,48.0,933.27,1042.04,939.21,1071.95,936.24,1056.99,24,0,0
34,SHAFT,pdf_block,drawing,room_label,service,45.0,1002.92,1043.63,1019.73,1049.57,1011.33,1046.6,27,0,0
35,LOBBY-1,pdf_block,drawing,room_label,space,45.0,787.23,1043.72,800.34,1095.59,793.79,1069.66,2,0,0
36,SHAFT,pdf_block,drawing,room_label,service,45.0,926.07,1048.76,932.01,1065.56,929.04,1057.16,24,1,0
37,LIFT B1,pdf_block,drawing,room_label,space,55.0,877.28,1056.32,885.19,1080.09,881.24,1068.2,6,1,0
38,PANTRY,pdf_block,drawing,room_label,space,46.0,1011.44,1070.0,1019.35,1099.25,1015.4,1084.62,38,0,0
39,LOBBY. PRESSURIZATION,pdf_block,drawing,room_label,space,66.0,653.4,1088.03,720.6,1093.97,687.0,1091.0,12,0,0
40,FHC,pdf_block,drawing,room_label,service,43.0,585.51,1093.88,591.45,1105.63,588.48,1099.76,15,0,0
41,SHAFT,pdf_block,drawing,room_label,service,45.0,679.4,1095.23,696.21,1101.17,687.81,1098.2,13,0,0
42,ELEC,pdf_block,drawing,room_label,service,44.0,544.35,1116.2,550.29,1130.13,547.32,1123.16,21,0,0
43,PASSAGE,pdf_block,drawing,room_label,space,47.0,627.56,1117.64,635.47,1153.05,631.52,1135.35,18,0,0
44,M.TOILET,pdf_block,drawing,room_label,space,47.0,949.28,1122.08,957.19,1154.84,953.24,1138.46,39,1,0
45,CHW,pdf_block,drawing,room_label,service,43.0,585.51,1132.28,591.45,1146.85,588.48,1139.57,34,0,0
46,LIFT B4,pdf_block,drawing,room_label,space,55.0,692.96,1133.6,700.87,1157.37,696.92,1145.48,4,2,0
47,LIFT B2,pdf_block,drawing,room_label,space,55.0,877.16,1133.6,885.07,1157.37,881.12,1145.48,6,0,0
48,CO-RA,pdf_block,drawing,room_label,service,44.0,544.35,1165.04,550.29,1184.98,547.32,1175.01,21,1,0
49,CO-FA,pdf_block,drawing,room_label,service,44.0,579.87,1165.4,585.81,1184.62,582.84,1175.01,28,0,0
50,H.TOILET,pdf_block,drawing,room_label,space,47.0,952.4,1193.84,960.31,1224.74,956.36,1209.29,39,0,0
